                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                0.75126,                 0.4581,                 1.0794,                0.99934,                      1,                  0.995,                0.83928,                0.63916,                0.35169,                0.98102,             0.00068825,             0.00068825,             0.00068825
                     55,                0.78857,                0.45894,                 1.1063,                0.99938,                      1,                  0.995,                0.83693,                0.63811,                0.35072,                0.98348,              0.0006635,              0.0006635,              0.0006635
                     56,                0.72158,                0.43151,                 1.0497,                0.99938,                      1,                  0.995,                 0.8353,                0.62123,                0.33381,                0.97518,             0.00063875,             0.00063875,             0.00063875
                     57,                0.76687,                0.43619,                 1.0499,                0.99941,                      1,                  0.995,                 0.8363,                0.66051,                0.33288,                0.99818,               0.000614,               0.000614,               0.000614
                     58,                0.77937,                0.45475,                 1.0787,                0.99941,                      1,                  0.995,                0.82725,                 0.6609,                0.33718,                 1.0014,             0.00058925,             0.00058925,             0.00058925
                     59,                0.69798,                0.42372,                 1.0294,                0.99941,                      1,                  0.995,                0.84738,                0.61247,                0.33294,                0.96752,              0.0005645,              0.0005645,              0.0005645
                     60,                0.75424,                0.44591,                 1.0395,                0.99941,                      1,                  0.995,                0.85142,                0.62004,                0.35393,                0.97511,             0.00053975,             0.00053975,             0.00053975
                     61,                0.72765,                0.44384,                 1.0403,                0.99939,                      1,                  0.995,                0.85432,                0.63598,                0.36095,                0.99359,               0.000515,               0.000515,               0.000515
                     62,                0.67612,                0.43088,                 1.0249,                0.99942,                      1,                  0.995,                0.84186,                0.64752,                0.35005,                 1.0028,             0.00049025,             0.00049025,             0.00049025
                     63,                0.70216,                0.41479,                 1.0397,                0.99938,                      1,                  0.995,                0.85656,                0.60039,                0.34434,                0.96471,              0.0004655,              0.0004655,              0.0004655
                     64,                0.66908,                0.41924,                 1.0116,                 0.9994,                      1,                  0.995,                0.85921,                0.59682,                0.34328,                0.96208,             0.00044075,             0.00044075,             0.00044075
                     65,                0.67376,                0.39365,                  1.003,                 0.9994,                      1,                  0.995,                 0.8515,                0.58519,                0.31928,                0.96153,               0.000416,               0.000416,               0.000416
                     66,                 0.6862,                0.40274,                 1.0221,                 0.9994,                      1,                  0.995,                0.85134,                0.58193,                 0.3164,                0.96045,             0.00039125,             0.00039125,             0.00039125
                     67,                0.69789,                0.39754,                 1.0248,                0.99939,                      1,                  0.995,                0.85014,                 0.5785,                0.29899,                0.95638,              0.0003665,              0.0003665,              0.0003665
                     68,                0.65694,                0.36951,                 1.0069,                0.99937,                      1,                  0.995,                0.85554,                0.57839,                0.30215,                0.95647,             0.00034175,             0.00034175,             0.00034175
                     69,                0.68336,                 0.4056,                 1.0225,                0.99937,                      1,                  0.995,                0.86626,                0.58151,                 0.3174,                0.95915,               0.000317,               0.000317,               0.000317
                     70,                0.66192,                0.40355,                 1.0237,                0.99937,                      1,                  0.995,                0.86471,                0.58251,                0.31388,                0.95606,             0.00029225,             0.00029225,             0.00029225
                     71,                0.64328,                0.48033,                 1.0218,                0.99936,                      1,                  0.995,                0.85626,                0.58179,                0.30891,                0.95436,              0.0002675,              0.0002675,              0.0002675
                     72,                0.61203,                0.43828,                 1.0332,                0.99932,                      1,                  0.995,                0.85854,                0.58852,                0.31774,                0.95818,             0.00024275,             0.00024275,             0.00024275
                     73,                 0.6209,                0.42015,                 1.0015,                0.99928,                      1,                  0.995,                0.86111,                0.58946,                0.34017,                0.95902,               0.000218,               0.000218,               0.000218
                     74,                0.61781,                0.43042,                 1.0412,                0.99927,                      1,                  0.995,                0.86154,                0.58652,                0.34202,                0.95534,             0.00019325,             0.00019325,             0.00019325
                     75,                0.58698,                0.42513,                0.99116,                0.99924,                      1,                  0.995,                0.86372,                0.58103,                0.33507,                0.95088,              0.0001685,              0.0001685,              0.0001685
                     76,                 0.6141,                0.40893,                 1.0359,                0.99929,                      1,                  0.995,                0.86637,                0.57786,                0.32238,                0.94928,             0.00014375,             0.00014375,             0.00014375
                     77,                0.60721,                0.39825,                 1.0109,                0.99934,                      1,                  0.995,                0.86491,                0.57727,                0.32007,                 0.9491,               0.000119,               0.000119,               0.000119
                     78,                0.63537,                0.40559,                 1.0305,                0.99939,                      1,                  0.995,                0.86442,                0.56558,                0.31564,                0.94262,              9.425e-05,              9.425e-05,              9.425e-05
                     79,                0.59849,                0.39426,                0.97499,                0.99941,                      1,                  0.995,                0.86109,                0.55757,                0.31152,                0.93651,               6.95e-05,               6.95e-05,               6.95e-05
                     80,                0.63462,                0.39882,                 1.0494,                0.99942,                      1,                  0.995,                0.86128,                0.55524,                0.31031,                0.93469,              4.475e-05,              4.475e-05,              4.475e-05
